Timestamp,qw,qx,qy,qz,heading,pitch,roll
353,0.999915,0.002095,-0.012301,-0.002315,179.731766,-1.409073,0.243357
473,0.999592,0.003124,-0.027254,0.007437,180.843399,-3.125996,0.335142
593,0.999494,-0.007723,-0.030496,0.003576,180.437332,-3.491777,-0.898762
714,0.999022,-0.017371,-0.040546,-0.001259,179.936356,-4.649297,-1.989770
835,0.998340,-0.022505,-0.052248,-0.008482,179.159729,-6.010108,-2.538640
956,0.997701,-0.026346,-0.062024,-0.006579,179.430618,-7.129318,-2.989833
1076,0.996800,-0.029626,-0.072459,-0.015898,178.412979,-8.360282,-3.288738
1199,0.996631,-0.032456,-0.074478,-0.010826,179.029678,-8.578040,-3.657629
1319,0.996237,-0.040910,-0.076105,-0.006092,179.657272,-8.750710,-4.676773
1439,0.995939,-0.054112,-0.071862,0.002353,180.721588,-8.214861,-6.271699
1559,0.997027,-0.052207,-0.056521,-0.002814,180.016724,-6.488256,-5.995772
1679,0.997484,-0.033195,-0.062152,-0.007234,179.404907,-7.150230,-3.774820
1799,0.997879,-0.029213,-0.057118,-0.010655,178.965927,-6.581499,-3.294289
1920,0.997578,-0.022881,-0.064368,-0.012736,178.701950,-7.412225,-2.543753
2043,0.997701,-0.027296,-0.060285,-0.014283,178.544754,-6.953962,-3.045854
2163,0.997498,-0.029691,-0.061157,-0.019146,178.003998,-7.073634,-3.286464
2283,0.997167,-0.027800,-0.066356,-0.021782,177.701187,-7.674576,-3.039607
2403,0.997667,-0.028918,-0.058963,-0.018393,178.078629,-6.817909,-3.206139
2523,0.997287,-0.028887,-0.063745,-0.022610,177.606628,-7.380083,-3.163932
2643,0.997639,-0.026148,-0.060054,-0.020414,177.829712,-6.943569,-2.871001
2763,0.997076,-0.030325,-0.064658,-0.027026,177.110825,-7.502975,-3.294636
2885,0.996795,-0.027694,-0.068416,-0.030713,176.675232,-7.937643,-2.952173
3005,0.996934,-0.026880,-0.067399,-0.029126,176.849442,-7.813550,-2.873695
3125,0.996419,-0.021021,-0.073039,-0.036928,175.911530,-8.459310,-2.114588
3245,0.996611,-0.029993,-0.068993,-0.033154,176.413422,-8.019345,-3.196047
3365,0.996210,-0.024388,-0.078603,-0.028008,176.983124,-9.089501,-2.564903
3485,0.996638,-0.020948,-0.073681,-0.028913,176.838440,-8.515526,-2.172741
3607,0.996707,-0.020730,-0.075563,-0.020660,177.793900,-8.712933,-2.214918
3727,0.996364,-0.018983,-0.082576,-0.008418,179.207611,-9.489743,-2.117227
3847,0.996287,-0.014734,-0.083184,-0.016310,178.253876,-9.568711,-1.548405
3967,0.996388,-0.023388,-0.079650,-0.017637,178.176102,-9.180748,-2.542810
4087,0.996792,-0.028309,-0.073499,-0.013936,178.631516,-8.471408,-3.152127
4207,0.996744,-0.035164,-0.071183,-0.013739,178.704208,-8.213849,-3.947866
4327,0.996493,-0.029699,-0.076159,-0.017614,178.226730,-8.790978,-3.277864
4447,0.996783,-0.030654,-0.072794,-0.013257,178.727676,-8.391335,-3.429569
4567,0.997472,-0.022312,-0.066920,-0.008057,179.243317,-7.692821,-2.511953
4687,0.997006,-0.019528,-0.073803,-0.011898,178.792557,-8.489498,-2.154589
4807,0.996933,-0.012836,-0.076070,-0.012860,178.626633,-8.743028,-1.370337
4927,0.996604,-0.010014,-0.077955,-0.024403,177.268127,-8.967239,-0.937070
5047,0.996976,-0.015121,-0.074975,-0.013449,178.577194,-8.621272,-1.630572
5167,0.995346,-0.001784,-0.090347,-0.033332,176.150955,-10.368163,0.143996
5288,0.994969,-0.013290,-0.089816,-0.042243,175.237350,-10.361093,-1.098434
5408,0.996296,-0.025929,-0.078461,-0.023597,177.507217,-9.065522,-2.783955
5528,0.995502,-0.002719,-0.086748,-0.037877,175.636246,-9.957682,0.067344
5648,0.995929,-0.009908,-0.082743,-0.034237,176.130325,-9.525720,-0.817421
5768,0.995221,-0.000337,-0.085871,-0.046399,174.624878,-9.843208,0.424364
5888,0.995562,-0.006413,-0.080412,-0.048373,174.460037,-9.249333,-0.289669
6008,0.995608,-0.008210,-0.077823,-0.051300,174.138809,-8.963533,-0.485115
6129,0.995906,-0.012736,-0.071521,-0.053707,173.900375,-8.269248,-1.023943
6249,0.995397,-0.012639,-0.074049,-0.059443,173.236038,-8.564245,-0.947844
6369,0.995188,-0.016038,-0.072900,-0.063408,172.806000,-8.460761,-1.313674
6489,0.995605,-0.012420,-0.067678,-0.063465,172.769226,-7.835969,-0.933506
6609,0.993994,-0.007587,-0.078186,-0.076132,171.254929,-9.008925,-0.184361
6729,0.993920,-0.011647,-0.077051,-0.077735,171.106598,-8.915399,-0.648062
6849,0.995459,-0.014184,-0.067253,-0.065793,172.513763,-7.802693,-1.121343
6970,0.995617,-0.012985,-0.065827,-0.065081,172.586746,-7.629504,-0.999473
7090,0.994360,-0.013757,-0.073807,-0.074857,171.460449,-8.559789,-0.944986
7210,0.991716,-0.011534,-0.089833,-0.091041,169.544296,-10.385884,-0.379763
7330,0.994252,-0.018946,-0.075416,-0.073540,171.658142,-8.786444,-1.541362
7450,0.991743,-0.014729,-0.086497,-0.093479,169.297501,-10.039083,-0.758935
7570,0.991705,-0.031390,-0.077125,-0.097872,168.946747,-9.155569,-2.738091
7690,0.994896,-0.040304,-0.050673,-0.077342,171.333939,-6.146073,-4.173482
7812,0.990288,-0.028561,-0.075758,-0.112991,167.161880,-9.003703,-2.288981
7932,0.992176,-0.044910,-0.065475,-0.096302,169.220993,-7.965448,-4.430666
8052,0.993280,-0.032504,-0.064758,-0.090200,169.829208,-7.730203,-3.059544
8172,0.988195,-0.026003,-0.081635,-0.126971,165.507553,-9.668397,-1.782394
8292,0.990576,-0.034431,-0.072001,-0.111271,167.410553,-8.644755,-3.025995
8412,0.992010,-0.029232,-0.067891,-0.102190,168.417755,-8.086735,-2.554239
8533,0.988230,-0.014380,-0.083221,-0.127520,165.330093,-9.680249,-0.418316
8653,0.986682,-0.025651,-0.087740,-0.134516,164.616241,-10.372299,-1.573727
8773,0.992166,-0.036272,-0.067742,-0.098452,168.908005,-8.138350,-3.395843
8893,0.984043,-0.014920,-0.093861,-0.150391,162.627914,-10.906880,-0.066011
9013,0.992070,-0.044729,-0.067281,-0.096231,169.233124,-8.169631,-4.391773
9133,0.986776,-0.025247,-0.088459,-0.133425,164.738983,-10.446422,-1.527812
9253,0.989541,-0.043771,-0.074201,-0.115667,166.984711,-9.031346,-4.033070
9374,0.990531,-0.029076,-0.074265,-0.111706,167.315399,-8.836760,-2.378539
9494,0.986050,-0.020798,-0.087381,-0.140103,163.913086,-10.262134,-0.962641
9614,0.991708,-0.037222,-0.067292,-0.102925,168.395966,-8.113202,-3.473189
9734,0.988393,-0.018535,-0.081098,-0.127085,165.423981,-9.498630,-0.931078
9854,0.988308,-0.022498,-0.080545,-0.127460,165.418106,-9.493890,-1.390637
9974,0.992878,-0.024900,-0.062922,-0.098010,168.864807,-7.459713,-2.144978
10094,0.987604,-0.015561,-0.084454,-0.131356,164.890686,-9.840300,-0.497192
10215,0.993060,-0.029683,-0.065766,-0.092826,169.504700,-7.823986,-2.704379
10335,0.988071,-0.008907,-0.088059,-0.125988,165.443390,-10.152034,0.266996
10455,0.990937,-0.025093,-0.073669,-0.109445,167.543518,-8.713594,-1.948318
10575,0.992455,-0.021022,-0.069824,-0.098520,168.777985,-8.206239,-1.619259
10695,0.986011,-0.019807,-0.092061,-0.137499,164.198410,-10.777380,-0.801615
10815,0.992998,-0.038460,-0.067782,-0.088734,170.052368,-8.131217,-3.727179
10935,0.983370,-0.018705,-0.101169,-0.149629,162.736053,-11.804386,-0.381180
11056,0.990838,-0.041994,-0.078692,-0.101373,168.640732,-9.465647,-3.910168
11176,0.991462,-0.025981,-0.080851,-0.098903,168.778748,-9.523970,-2.064309
11296,0.985401,-0.007145,-0.096984,-0.139713,163.786484,-11.135675,0.760231
11416,0.992326,-0.031126,-0.079183,-0.089671,169.899521,-9.365570,-2.763704
11536,0.990147,-0.011581,-0.088939,-0.107495,167.628082,-10.289084,-0.222070
11656,0.988662,-0.004497,-0.091432,-0.118991,166.205612,-10.478148,0.749711
11776,0.994283,-0.015027,-0.079529,-0.069578,172.082260,-9.220835,-1.092253
11896,0.986564,0.001597,-0.098167,-0.130552,164.759750,-11.144257,1.681030
12016,0.996240,-0.039074,-0.060522,-0.048027,174.739990,-7.142817,-4.163624
12136,0.986804,-0.004486,-0.091614,-0.133404,164.518738,-10.486680,0.908416
12256,0.993794,-0.030651,-0.069702,-0.081034,170.884293,-8.250773,-2.874308
12376,0.989167,-0.005504,-0.087914,-0.117394,166.413696,-10.091182,0.567541
12496,0.989425,-0.011744,-0.089091,-0.113821,166.891068,-10.309855,-0.172268
12616,0.992357,-0.011177,-0.078971,-0.094114,169.198700,-9.139547,-0.424680
12736,0.984546,0.008120,-0.100520,-0.143147,163.196747,-11.280320,2.616406
12856,0.993408,-0.011104,-0.069150,-0.090706,169.604507,-8.013288,-0.550651
12976,0.986217,0.005527,-0.092295,-0.137184,163.969833,-10.400617,2.110707
13096,0.991328,-0.014917,-0.078784,-0.104068,168.075699,-9.166670,-0.764861
13216,0.989528,-0.002805,-0.088929,-0.113623,166.823456,-10.173679,0.853274
13336,0.985830,-0.003471,-0.101434,-0.133528,164.452744,-11.590775,1.184124
13462,0.992126,-0.018609,-0.080812,-0.093806,169.301743,-9.429986,-1.264092
13582,0.983571,0.004097,-0.114933,-0.139114,163.630997,-12.999914,2.354962
13702,0.991882,-0.022885,-0.085014,-0.091704,169.586578,-9.953285,-1.734132
13822,0.981631,0.006712,-0.117323,-0.150271,162.263336,-13.198143,2.851748
13951,0.987893,-0.021380,-0.098174,-0.118166,166.470062,-11.479929,-1.113315
14076,0.988558,-0.009742,-0.094836,-0.116858,166.500504,-10.939847,0.169485
14196,0.987098,-0.016540,-0.098428,-0.125169,165.593369,-11.446768,-0.468425
14318,0.989911,-0.012638,-0.090779,-0.108015,167.574600,-10.512844,-0.315301
